Campaign,Ad group,Keyword,Criterion Type,Final URL
SC | Conta e Tarifa,Conta alta e revisão de fatura,auditoria de energia elétrica empresa,Phrase,https://servicos.sousacosta.com.br/servicos/consultoria-de-faturamento/
SC | Conta e Tarifa,Conta alta e revisão de fatura,auditoria de energia elétrica empresa,Exact,https://servicos.sousacosta.com.br/servicos/consultoria-de-faturamento/
SC | Conta e Tarifa,Conta alta e revisão de fatura,perícia em conta de energia,Phrase,https://servicos.sousacosta.com.br/servicos/consultoria-de-faturamento/
SC | Conta e Tarifa,Conta alta e revisão de fatura,perícia em conta de energia,Exact,https://servicos.sousacosta.com.br/servicos/consultoria-de-faturamento/
SC | Conta e Tarifa,Conta alta e revisão de fatura,assessoria conta de energia empresa,Phrase,https://servicos.sousacosta.com.br/servicos/consultoria-de-faturamento/
SC | Conta e Tarifa,Conta alta e revisão de fatura,assessoria conta de energia empresa,Exact,https://servicos.sousacosta.com.br/servicos/consultoria-de-faturamento/
SC | Conta e Tarifa,Titularidade e cadastro,despachante de energia elétrica,Phrase,https://servicos.sousacosta.com.br/servicos/alteracao-de-titularidade/
SC | Conta e Tarifa,Titularidade e cadastro,despachante de energia elétrica,Exact,https://servicos.sousacosta.com.br/servicos/alteracao-de-titularidade/
SC | Conta e Tarifa,Titularidade e cadastro,regularizar unidade consumidora,Phrase,https://servicos.sousacosta.com.br/servicos/alteracao-de-titularidade/
SC | Conta e Tarifa,Titularidade e cadastro,regularizar unidade consumidora,Exact,https://servicos.sousacosta.com.br/servicos/alteracao-de-titularidade/
SC | Ligação e Projetos,Ligação nova e padrão de entrada,quem faz projeto de padrão de entrada,Phrase,https://servicos.sousacosta.com.br/servicos/projeto-unidade-baixa-tensao/
SC | Ligação e Projetos,Ligação nova e padrão de entrada,quem faz projeto de padrão de entrada,Exact,https://servicos.sousacosta.com.br/servicos/projeto-unidade-baixa-tensao/
SC | Ligação e Projetos,Ligação nova e padrão de entrada,empresa de projeto elétrico natal,Phrase,https://servicos.sousacosta.com.br/servicos/projeto-unidade-baixa-tensao/
SC | Ligação e Projetos,Ligação nova e padrão de entrada,empresa de projeto elétrico natal,Exact,https://servicos.sousacosta.com.br/servicos/projeto-unidade-baixa-tensao/
SC | Ligação e Projetos,Ligação nova e padrão de entrada,responsável técnico projeto elétrico,Phrase,https://servicos.sousacosta.com.br/servicos/projeto-unidade-baixa-tensao/
SC | Ligação e Projetos,Ligação nova e padrão de entrada,responsável técnico projeto elétrico,Exact,https://servicos.sousacosta.com.br/servicos/projeto-unidade-baixa-tensao/
