Campaign,Ad group,Keyword,Criterion Type,Final URL
SC | Recarga Veicular,Recarga veicular em condomínio,carregador de carro elétrico condomínio,Phrase,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
SC | Recarga Veicular,Recarga veicular em condomínio,carregador de carro elétrico condomínio,Exact,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
SC | Recarga Veicular,Recarga veicular em condomínio,instalação de carregador de carro elétrico,Phrase,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
SC | Recarga Veicular,Recarga veicular em condomínio,instalação de carregador de carro elétrico,Exact,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
SC | Recarga Veicular,Recarga veicular em condomínio,ponto de recarga em condomínio,Phrase,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
SC | Recarga Veicular,Recarga veicular em condomínio,ponto de recarga em condomínio,Exact,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
SC | Recarga Veicular,Recarga veicular em condomínio,carregador veicular em prédio,Phrase,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
SC | Recarga Veicular,Recarga veicular em condomínio,carregador veicular em prédio,Exact,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
SC | Recarga Veicular,Recarga veicular em condomínio,projeto de carregador de carro elétrico,Phrase,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
SC | Recarga Veicular,Recarga veicular em condomínio,projeto de carregador de carro elétrico,Exact,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
SC | Recarga Veicular,Recarga veicular em condomínio,norma carregador carro elétrico condomínio,Phrase,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
SC | Recarga Veicular,Recarga veicular em condomínio,norma carregador carro elétrico condomínio,Exact,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
SC | Recarga Veicular,Recarga veicular em condomínio,rt 05 cbmrn,Phrase,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
SC | Recarga Veicular,Recarga veicular em condomínio,rt 05 cbmrn,Exact,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
SC | Recarga Veicular,Recarga veicular em condomínio,save condomínio bombeiro,Phrase,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
SC | Recarga Veicular,Recarga veicular em condomínio,save condomínio bombeiro,Exact,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
SC | Recarga Veicular,Recarga veicular em condomínio,nbr 17019,Phrase,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
SC | Recarga Veicular,Recarga veicular em condomínio,nbr 17019,Exact,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
SC | Recarga Veicular,Recarga veicular em condomínio,eletroposto em condomínio,Phrase,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
SC | Recarga Veicular,Recarga veicular em condomínio,eletroposto em condomínio,Exact,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
SC | Recarga Veicular,Recarga veicular em condomínio,recarga veicular condomínio natal,Phrase,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
SC | Recarga Veicular,Recarga veicular em condomínio,recarga veicular condomínio natal,Exact,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
SC | Recarga Veicular,Recarga veicular em condomínio,carregador carro elétrico natal,Phrase,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
SC | Recarga Veicular,Recarga veicular em condomínio,carregador carro elétrico natal,Exact,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
SC | Recarga Veicular,Recarga veicular em condomínio,wallbox condomínio,Phrase,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
SC | Recarga Veicular,Recarga veicular em condomínio,wallbox condomínio,Exact,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
SC | Recarga Veicular,Recarga veicular em condomínio,aumento de carga para carregador,Phrase,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
SC | Recarga Veicular,Recarga veicular em condomínio,aumento de carga para carregador,Exact,https://servicos.sousacosta.com.br/servicos/carregador-de-veiculo-eletrico-condominio/
