Campaign,Ad group,Keyword,Criterion Type,Final URL
SC | Solar e GD,Projeto solar e homologação,projeto de energia solar natal,Phrase,https://servicos.sousacosta.com.br/servicos/projeto-de-energia-solar/
SC | Solar e GD,Projeto solar e homologação,projeto de energia solar natal,Exact,https://servicos.sousacosta.com.br/servicos/projeto-de-energia-solar/
SC | Solar e GD,Projeto solar e homologação,projeto fotovoltaico rn,Phrase,https://servicos.sousacosta.com.br/servicos/projeto-de-energia-solar/
SC | Solar e GD,Projeto solar e homologação,projeto fotovoltaico rn,Exact,https://servicos.sousacosta.com.br/servicos/projeto-de-energia-solar/
SC | Solar e GD,Projeto solar e homologação,homologação usina solar,Phrase,https://servicos.sousacosta.com.br/servicos/projeto-de-energia-solar/
SC | Solar e GD,Projeto solar e homologação,homologação usina solar,Exact,https://servicos.sousacosta.com.br/servicos/projeto-de-energia-solar/
SC | Solar e GD,Projeto solar e homologação,solicitação de acesso energia solar,Phrase,https://servicos.sousacosta.com.br/servicos/projeto-de-energia-solar/
SC | Solar e GD,Projeto solar e homologação,solicitação de acesso energia solar,Exact,https://servicos.sousacosta.com.br/servicos/projeto-de-energia-solar/
SC | Solar e GD,Projeto solar e homologação,parecer de acesso solar,Phrase,https://servicos.sousacosta.com.br/servicos/projeto-de-energia-solar/
SC | Solar e GD,Projeto solar e homologação,parecer de acesso solar,Exact,https://servicos.sousacosta.com.br/servicos/projeto-de-energia-solar/
SC | Solar e GD,Projeto solar e homologação,projeto solar cosern,Phrase,https://servicos.sousacosta.com.br/servicos/projeto-de-energia-solar/
SC | Solar e GD,Projeto solar e homologação,projeto solar cosern,Exact,https://servicos.sousacosta.com.br/servicos/projeto-de-energia-solar/
SC | Solar e GD,Projeto solar e homologação,engenheiro projeto solar natal,Phrase,https://servicos.sousacosta.com.br/servicos/projeto-de-energia-solar/
SC | Solar e GD,Projeto solar e homologação,engenheiro projeto solar natal,Exact,https://servicos.sousacosta.com.br/servicos/projeto-de-energia-solar/
SC | Solar e GD,Projeto solar e homologação,homologar energia solar rn,Phrase,https://servicos.sousacosta.com.br/servicos/projeto-de-energia-solar/
SC | Solar e GD,Projeto solar e homologação,homologar energia solar rn,Exact,https://servicos.sousacosta.com.br/servicos/projeto-de-energia-solar/
